id,neighbourhood_cleansed,room_type,accommodates,bedrooms,price,minimum_nights_x,maximum_nights,amenities,review_scores_rating,estimated_occupancy_l365d,Wifi_x,kitchen_x,has_washer_x,air conditioning_x,parking_gratuit_x,taux_occupation,seuil,classement,taille_groupe,Wifi_y,kitchen_y,has_washer_y,air conditioning_y,parking_gratuit_y,minimum_nights_y,recor_wifi,reco_kitchen,reco_washer,reco_ac,reco_parking,reco_nuit,recommandation_finale
222887,Bordeaux Sud,Entire home/apt,4,2.0,241.0,3,90,"[""Host greets you"", ""Refrigerator"", ""Fast wifi \u2013 395 Mbps"", ""Toaster"", ""Hair dryer"", ""Ethernet connection"", ""Pack \u2019n play/Travel crib"", ""Drying rack for clothing"", ""High chair"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Baking sheet"", ""Blender"", ""Paid parking garage off premises"", ""Wine glasses"", ""Bed linens"", ""Iron"", ""Harmon Kardon speaker  Bluetooth sound system"", ""Elevator"", ""Conditioner"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Carbon monoxide alarm"", ""Waterfront"", ""Shower gel"", ""Long term stays allowed"", ""Private entrance"", ""City skyline view"", ""Books and reading material"", ""Heating"", ""Cooking basics"", ""Coffee maker"", ""Extra pillows and blankets"", ""River view"", ""20 inch HDTV with standard cable"", ""Cleaning products"", ""Portable fans"", ""Outdoor furniture"", ""Coffee"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Crib"", ""Central air conditioning"", ""Free dryer \u2013 In unit"", ""Body soap"", ""Private patio or balcony"", ""Hot water kettle"", ""Dishes and silverware"", ""Hot water"", ""Shampoo"", ""Induction stove"", ""Smoke alarm"", ""Kitchen"", ""Dining table""]",4.83,168,1,1,1,1,0,0.18904109589041096,102.0,1,226.0,1.0,0.9655172413793104,0.8620689655172413,0.3275862068965517,0.3103448275862069,2.0,,,,,,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
317273,Chartrons - Grand Parc - Jardin Public,Entire home/apt,3,1.0,214.0,3,90,"[""Host greets you"", ""Refrigerator"", ""Courtyard view"", ""Private backyard \u2013 Fully fenced"", ""Hair dryer"", ""Stove"", ""High chair"", ""TV with standard cable"", ""Paid parking garage off premises"", ""Bed linens"", ""Iron"", ""Dishwasher"", ""Conditioner"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Long term stays allowed"", ""Heating"", ""Clothing storage: closet"", ""Cooking basics"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cleaning products"", ""Outdoor dining area"", ""Coffee"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Crib"", ""Private patio or balcony"", ""Free dryer \u2013 In unit"", ""Body soap"", ""Dishes and silverware"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Dining table""]",4.91,114,1,1,1,0,0,0.18082191780821918,93.0,1,127.0,1.0,1.0,0.90625,0.40625,0.1875,2.0,,,,,,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
317658,Centre ville (Bordeaux),Entire home/apt,6,2.0,246.0,3,90,"[""Host greets you"", ""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Ethernet connection"", ""Drying rack for clothing"", ""High chair"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Wine glasses"", ""Bed linens"", ""Iron"", ""Elevator"", ""Dishwasher"", ""Conditioner"", ""First aid kit"", ""Free washer \u2013 In unit"", ""Shower gel"", ""Long term stays allowed"", ""City skyline view"", ""Heating"", ""Cooking basics"", ""Coffee maker"", ""Extra pillows and blankets"", ""Window guards"", ""Cleaning products"", ""Laundromat nearby"", ""HDTV with standard cable"", ""Portable fans"", ""Coffee"", ""Paid parking off premises"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Crib"", ""Body soap"", ""Hot water kettle"", ""Bluetooth sound system"", ""Dishes and silverware"", ""Electric stove"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Dining table""]",4.87,84,1,1,1,0,0,0.2054794520547945,120.0,0,279.0,1.0,1.0,0.88,0.44,0.13333333333333333,2.0,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
333031,Centre ville (Bordeaux),Entire home/apt,2,0.0,104.0,1,1125,"[""Refrigerator"", ""Hair dryer"", ""Lockbox"", ""TV with standard cable"", ""Bed linens"", ""Iron"", ""AC - split type ductless system"", ""Dishwasher"", ""Shower gel"", ""Cooking basics"", ""Heating"", ""Coffee maker"", ""Paid parking on premises"", ""Paid parking off premises"", ""Essentials"", ""Self check-in"", ""Hangers"", ""Microwave"", ""Dishes and silverware"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Smoke alarm"", ""Kitchen""]",4.93,255,1,1,0,0,0,0.052054794520547946,120.0,1,293.0,0.9761904761904762,0.9761904761904762,0.6904761904761905,0.19047619047619047,0.07142857142857142,2.0,,,1.0,,,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
365993,Bgles,Entire home/apt,6,2.0,77.0,5,30,"[""Host greets you"", ""Room-darkening shades"", ""Baby bath"", ""Toaster"", ""Hair dryer"", ""Ethernet connection"", ""Drying rack for clothing"", ""High chair"", ""Electrolux electric stove"", ""Clothing storage: closet and dresser"", ""Baking sheet"", ""40 inch TV with standard cable"", ""Children\u2019s dinnerware"", ""Wine glasses"", ""Bed linens"", ""Barbecue utensils"", ""Iron"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free washer \u2013 In unit"", ""Shared backyard \u2013 Not fully fenced"", ""Carbon monoxide alarm"", ""Sanex body soap"", ""Freezer"", ""Free residential garage on premises \u2013 1 space"", ""Shower gel"", ""Mini fridge"", ""Cooking basics"", ""Faure stainless steel oven"", ""Private entrance"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cleaning products"", ""Laundromat nearby"", ""Outdoor furniture"", ""Crib - available upon request"", ""Outdoor dining area"", ""Coffee"", ""BBQ grill: gas"", ""Fast wifi \u2013 248 Mbps"", ""Essentials"", ""Hangers"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Microwave"", ""Central air conditioning"", ""Private patio or balcony"", ""Radiant heating"", ""Outlet covers"", ""Haier refrigerator"", ""Dishes and silverware"", ""Hot water kettle"", ""Hot water"", ""Philips sound system with aux"", ""Heating - split type ductless system"", ""Smoke alarm"", ""Kitchen"", ""Dining table""]",4.9,100,1,1,1,1,1,0.25753424657534246,87.0,1,83.0,1.0,1.0,0.9523809523809523,0.3333333333333333,0.6666666666666666,2.0,,,,,,1.0,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
438600,Chartrons - Grand Parc - Jardin Public,Private room,1,1.0,29.0,2,1125,"[""Host greets you"", ""Room-darkening shades"", ""Toaster"", ""Hair dryer"", ""TV with standard cable"", ""Bed linens"", ""Iron"", ""Dishwasher"", ""Breakfast"", ""Carbon monoxide alarm"", ""Free street parking"", ""Air conditioning"", ""Shower gel"", ""Cooking basics"", ""Heating"", ""Paid parking on premises"", ""Outdoor furniture"", ""Essentials"", ""Hangers"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Shampoo"", ""Smoke alarm"", ""Kitchen"", ""Fast wifi \u2013 167 Mbps"", ""Dining table""]",4.88,255,1,1,1,1,0,0.1506849315068493,135.0,1,36.0,1.0,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.0,2.0,,,,,,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
457462,Talence,Entire home/apt,4,2.0,86.0,7,28,"[""Host greets you"", ""Refrigerator"", ""Toaster"", ""Shared pool"", ""Hair dryer"", ""Drying rack for clothing"", ""Free parking on premises"", ""TV with standard cable"", ""Baking sheet"", ""Blender"", ""Pool view"", ""Smoking allowed"", ""Wine glasses"", ""Bed linens"", ""Park view"", ""Iron"", ""Elevator"", ""Dishwasher"", ""Private sauna"", ""Freezer"", ""Coffee maker: espresso machine"", ""Shower gel"", ""Clothing storage: closet"", ""Heating"", ""Cooking basics"", ""Extra pillows and blankets"", ""Cleaning products"", ""Portable fans"", ""Outdoor furniture"", ""Coffee"", ""Exercise equipment: elliptical, free weights, stationary bike, treadmill, yoga mat, rowing"", ""Essentials"", ""Gym"", ""Hangers"", ""Microwave"", ""Double oven"", ""Private patio or balcony"", ""Washer"", ""Body soap"", ""Hot water kettle"", ""Dishes and silverware"", ""Electric stove"", ""Hot water"", ""Dryer"", ""Outdoor playground"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Bathtub"", ""Dining table""]",4.7,0,1,1,1,0,1,1.0,102.0,0,98.0,0.8888888888888888,0.9629629629629629,0.4074074074074074,0.2222222222222222,0.5925925925925926,1.0,,,,,,1.0,1. Réduire le minimum de nuits
457640,Talence,Entire home/apt,4,2.0,120.0,3,30,"[""Pets allowed"", ""Washer"", ""Coffee maker"", ""Pool"", ""Elevator"", ""Host greets you"", ""Dryer"", ""Shampoo"", ""Wifi"", ""Free parking on premises"", ""Smoke alarm"", ""Kitchen"", ""TV"", ""Essentials"", ""Gym"", ""Patio or balcony"", ""Heating""]",4.87,36,1,1,1,0,1,0.04657534246575343,45.0,0,99.0,1.0,0.96,0.88,0.48,0.84,2.0,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
482102,Le Bouscat,Entire home/apt,12,6.0,294.0,2,21,"[""Pets allowed"", ""Room-darkening shades"", ""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Ethernet connection"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""Clothing storage: closet and dresser"", ""Dedicated workspace"", ""Baking sheet"", ""Smoking allowed"", ""Wine glasses"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""Keypad"", ""Dishwasher"", ""Coffee maker: drip coffee maker"", ""First aid kit"", ""Carbon monoxide alarm"", ""Freezer"", ""TV"", ""Air conditioning"", ""Long term stays allowed"", ""Private entrance"", ""Books and reading material"", ""Heating"", ""Cooking basics"", ""Pocket wifi"", ""Paid parking on premises"", ""Cleaning products"", ""Laundromat nearby"", ""Portable fans"", ""Stainless steel oven"", ""Essentials"", ""Self check-in"", ""Hangers"", ""Microwave"", ""Crib"", ""Washer"", ""Free dryer \u2013 In unit"", ""Fireplace guards"", ""Hot water kettle"", ""Dishes and silverware"", ""Hot water"", ""Housekeeping - available at extra cost"", ""Wifi"", ""Board games"", ""Smoke alarm"", ""Kitchen"", ""Bathtub"", ""Gas stove"", ""Dining table""]",4.75,210,1,1,1,1,0,0.1726027397260274,39.0,1,66.0,1.0,1.0,0.8823529411764706,0.7647058823529411,0.5882352941176471,3.0,,,,,1.0,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
500193,Bordeaux Sud,Entire home/apt,4,2.0,95.0,2,14,"[""Host greets you"", ""Refrigerator"", ""Hair dryer"", ""Stove"", ""Children\u2019s books and toys"", ""Dedicated workspace"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Freezer"", ""Shower gel"", ""Cooking basics"", ""Heating"", ""Coffee maker"", ""Cleaning available during stay"", ""Backyard"", ""Paid parking off premises"", ""Essentials"", ""Oven"", ""Hangers"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Kitchen""]",4.42,114,1,1,1,0,0,0.15342465753424658,139.0,0,231.0,0.9827586206896551,0.9827586206896551,0.6896551724137931,0.2413793103448276,0.27586206896551724,2.0,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
