listing_id,nb_reviews,neg_proprete,pct_proprete,neg_bruit,pct_bruit,neg_confort_literie,pct_confort_literie,neg_temperature,pct_temperature,neg_accueil,pct_accueil
222887,133,0,0.0,5,3.8,1,0.8,1,0.8,0,0.0
317273,87,0,0.0,1,1.1,0,0.0,0,0.0,1,1.1
317658,164,0,0.0,11,6.7,1,0.6,0,0.0,0,0.0
333031,582,4,0.7,6,1.0,1,0.2,0,0.0,0,0.0
365993,73,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0
438600,425,1,0.2,4,0.9,1,0.2,2,0.5,0,0.0
457462,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
457640,95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
482102,511,12,2.3,5,1.0,0,0.0,1,0.2,0,0.0
500193,331,15,4.5,16,4.8,2,0.6,3,0.9,0,0.0
545440,93,0,0.0,1,1.1,0,0.0,0,0.0,0,0.0
548827,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
599263,173,0,0.0,11,6.4,0,0.0,0,0.0,0,0.0
648539,43,3,7.0,3,7.0,0,0.0,0,0.0,0,0.0
656926,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
667763,169,0,0.0,1,0.6,1,0.6,1,0.6,0,0.0
670292,36,0,0.0,3,8.3,0,0.0,0,0.0,0,0.0
675853,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
709326,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
724856,223,0,0.0,2,0.9,1,0.4,1,0.4,0,0.0
776808,4,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
777417,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
792947,257,4,1.6,0,0.0,1,0.4,1,0.4,0,0.0
837713,45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
845807,43,1,2.3,0,0.0,1,2.3,0,0.0,0,0.0
845815,44,0,0.0,2,4.5,0,0.0,0,0.0,0,0.0
856891,108,5,4.6,2,1.9,0,0.0,0,0.0,0,0.0
865244,131,2,1.5,2,1.5,0,0.0,0,0.0,0,0.0
867488,112,2,1.8,5,4.5,2,1.8,1,0.9,0,0.0
872870,95,3,3.2,1,1.1,0,0.0,0,0.0,1,1.1
872948,77,0,0.0,6,7.8,1,1.3,0,0.0,0,0.0
872979,60,2,3.3,3,5.0,1,1.7,1,1.7,0,0.0
878032,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
880178,58,0,0.0,3,5.2,0,0.0,0,0.0,0,0.0
881775,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
881940,41,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0
888556,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
921237,35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
939481,423,1,0.2,4,0.9,4,0.9,0,0.0,0,0.0
953206,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
953240,7,0,0.0,0,0.0,0,0.0,1,14.3,0,0.0
964043,126,0,0.0,3,2.4,1,0.8,0,0.0,1,0.8
981420,56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1007407,233,3,1.3,4,1.7,0,0.0,1,0.4,1,0.4
1013790,43,1,2.3,0,0.0,1,2.3,0,0.0,0,0.0
1025361,494,0,0.0,6,1.2,3,0.6,1,0.2,0,0.0
1027726,76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1043978,98,1,1.0,8,8.2,0,0.0,0,0.0,0,0.0
1097322,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1109000,118,1,0.8,0,0.0,0,0.0,0,0.0,1,0.8
1109639,23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1117474,528,4,0.8,92,17.4,9,1.7,0,0.0,0,0.0
1156185,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1161946,70,4,5.7,0,0.0,0,0.0,2,2.9,0,0.0
1172803,715,3,0.4,10,1.4,2,0.3,1,0.1,0,0.0
1182098,165,3,1.8,1,0.6,1,0.6,0,0.0,2,1.2
1188231,563,3,0.5,14,2.5,1,0.2,0,0.0,0,0.0
